iter	Passed	Remaining
848	2862	509
849	2866	505
850	2869	502
851	2872	498
852	2875	495
853	2878	492
854	2882	488
855	2885	485
856	2888	481
857	2891	478
858	2894	475
859	2896	471
860	2900	468
861	2903	464
862	2906	461
863	2910	458
864	2913	454
865	2916	451
866	2919	447
867	2922	444
868	2925	441
869	2928	437
870	2931	434
871	2935	430
872	2938	427
873	2942	424
874	2945	420
875	2948	417
876	2951	413
877	2954	410
878	2957	407
879	2960	403
880	2964	400
881	2967	396
882	2970	393
883	2973	390
884	2975	386
885	2979	383
886	2982	379
887	2985	376
888	2989	373
889	2991	369
890	2994	366
891	2997	362
892	3000	359
893	3003	356
894	3007	352
895	3010	349
896	3013	346
897	3016	342
898	3020	339
899	3023	335
900	3026	332
901	3028	329
902	3031	325
903	3034	322
904	3037	318
905	3040	315
906	3043	312
907	3046	308
908	3049	305
909	3051	301
910	3054	298
911	3057	295
912	3060	291
913	3062	288
914	3065	284
915	3068	281
916	3071	278
917	3074	274
918	3077	271
919	3080	267
920	3083	264
921	3086	261
922	3089	257
923	3092	254
924	3095	250
925	3098	247
926	3101	244
927	3104	240
928	3107	237
929	3110	234
930	3113	230
931	3116	227
932	3120	224
933	3123	220
934	3126	217
935	3129	213
936	3132	210
937	3134	207
938	3138	203
939	3141	200
940	3144	197
941	3147	193
942	3150	190
943	3153	187
944	3156	183
945	3159	180
946	3162	177
947	3166	173
948	3168	170
949	3172	166
950	3175	163
951	3177	160
952	3180	156
953	3184	153
954	3187	150
955	3190	146
956	3193	143
957	3197	140
958	3200	136
959	3203	133
960	3206	130
961	3210	126
962	3213	123
963	3216	120
964	3218	116
965	3221	113
966	3225	110
967	3228	106
968	3231	103
969	3234	100
970	3237	96
971	3240	93
972	3243	89
973	3246	86
974	3250	83
975	3252	79
976	3255	76
977	3258	73
978	3261	69
979	3264	66
980	3268	63
981	3270	59
982	3274	56
983	3277	53
984	3279	49
985	3282	46
986	3285	43
987	3288	39
988	3291	36
989	3294	33
990	3297	29
991	3301	26
992	3304	23
993	3307	19
994	3310	16
995	3313	13
996	3316	9
997	3319	6
998	3322	3
999	3325	0
